Rk,Player,Pos,Age,Tm,FG%,3P%,TRB,AST,STL,BLK,TOV,PTS
446,Nikola Vučević\vucevni01,C,31,CHI,0.404,0.340,10.5,3.6,1.0,1.0,1.6,15.2
447,Dean Wade\wadede01,PF,25,CLE,0.442,0.345,3.3,1.1,0.6,0.1,0.3,5.1
448,Franz Wagner\wagnefr01,SF,20,ORL,0.449,0.380,4.5,2.8,1.1,0.4,1.3,14.1
449,Moritz Wagner\wagnemo01,C,24,ORL,0.449,0.370,2.5,0.8,0.2,0.2,0.8,6.3
450,Ish Wainright\wainris01,PF,27,PHO,0.250,0.182,1.3,0.3,0.3,0.0,0.3,1.3
451,Kemba Walker\walkeke02,PG,31,NYK,0.429,0.413,2.6,3.1,1.1,0.3,1.3,11.7
452,Lonnie Walker\walkelo01,SG,23,SAS,0.385,0.295,2.9,2.3,0.6,0.3,1.3,10.6
453,Brad Wanamaker\wanambr01,PG,32,IND,0.385,0.250,1.7,2.2,0.2,0.3,0.9,3.8
454,Duane Washington Jr.\washidu02,PG,21,IND,0.500,0.333,0.3,0.0,0.0,0.0,0.0,1.7
455,P.J. Washington\washipj01,PF,23,CHO,0.465,0.432,5.4,2.2,0.6,1.2,1.2,10.6
456,Yuta Watanabe\watanyu01,SF,27,TOR,0.360,0.343,4.0,1.2,0.4,0.7,0.2,6.1
457,Trendon Watford\watfotr01,SF,21,POR,0.500,,0.9,0.6,0.3,0.3,0.3,2.0
458,Paul Watson\watsopa01,SF,27,OKC,0.133,0.154,2.4,0.6,0.2,0.6,0.6,1.4
459,Russell Westbrook\westbru01,PG,33,LAL,0.451,0.322,7.8,8.4,1.2,0.2,4.6,19.6
460,Coby White\whiteco01,PG,21,CHI,0.349,0.226,2.6,1.3,0.1,0.1,0.9,6.1
461,Derrick White\whitede01,SG,27,SAS,0.415,0.288,3.9,5.2,1.2,0.9,1.5,14.1
462,Hassan Whiteside\whiteha01,C,32,UTA,0.608,,6.8,0.3,0.2,1.4,1.0,7.6
463,Joe Wieskamp\wieskjo01,SG,22,SAS,1.000,1.000,0.0,0.0,0.0,0.0,0.0,1.0
464,Aaron Wiggins\wiggiaa01,SG,23,OKC,0.455,0.333,1.6,1.0,0.4,0.1,0.8,3.0
465,Andrew Wiggins\wiggian01,SF,26,GSW,0.488,0.408,4.5,1.8,0.8,0.6,1.6,18.4
466,Grant Williams\willigr01,PF,23,BOS,0.511,0.453,3.4,1.0,0.4,0.6,0.6,7.5
