	index	Rk	Player	Pos	Age	Tm	FG%	3P%	TRB	AST	STL	BLK	TOV	PTS	All Star %	Conference
145	163	164	Devonte' Graham\grahade01	PG	26	NOP	0.366	0.353	2.4	4.5	1.1	0.1	1.6	13.3	0.0	West
149	167	168	Jalen Green\greenja05	SG	19	HOU	0.382	0.278	3.1	2.3	0.6	0.2	2.7	14.0	0.0	West
150	168	169	JaMychal Green\greenja01	PF	31	DEN	0.409	0.22	3.3	0.8	0.8	0.5	1.0	5.4	0.0	West
158	176	177	Tim Hardaway Jr.\hardati02	SG	29	DAL	0.384	0.333	3.9	2.3	1.0	0.1	0.6	14.4	0.0	West
160	178	179	Maurice Harkless\harklma01	SF	28	SAC	0.382	0.22	2.4	0.5	0.4	0.4	0.5	3.6	0.0	West
174	192	193	Willy Hernangómez\hernawi01	C	27	NOP	0.647	1.0	6.6	1.4	0.4	0.3	1.0	8.3	0.0	West
176	194	195	Buddy Hield\hieldbu01	SG	29	SAC	0.382	0.355	4.0	2.1	0.8	0.3	1.6	15.6	0.0	West
185	203	204	Talen Horton-Tucker\hortota01	SG	21	LAL	0.406	0.278	4.5	2.9	1.3	0.5	1.5	11.3	0.0	West
186	204	205	Danuel House\houseda01	SF	28	HOU	0.338	0.294	2.7	1.2	0.3	0.3	1.1	4.8	0.0	West
193	212	213	Bones Hyland\hylanbo01	PG	21	DEN	0.374	0.337	1.7	1.6	0.7	0.2	0.8	8.2	0.0	West
194	213	214	Serge Ibaka\ibakase01	C	32	LAC	0.362	0.4	3.1	1.2	0.2	0.3	0.5	4.3	0.0	West
206	227	228	Cameron Johnson\johnsca02	PF	25	PHO	0.424	0.412	3.8	1.3	0.8	0.3	0.8	10.2	0.0	West
210	231	232	Keldon Johnson\johnske04	SF	22	SAS	0.474	0.443	6.1	1.8	0.9	0.2	1.3	14.7	0.0	West
215	236	237	Herb Jones\joneshe01	C	23	NOP	0.461	0.333	3.3	1.8	1.4	0.9	1.1	6.9	0.0	West
217	238	239	Tre Jones\jonestr01	PG	22	SAS	0.483	0.125	1.6	1.8	0.4	0.0	0.6	4.0	0.0	West
218	239	240	Tyus Jones\jonesty01	PG	25	MEM	0.467	0.4	2.6	4.2	0.9	0.1	0.8	7.7	0.0	West
221	243	244	Frank Kaminsky\kaminfr01	C	28	PHO	0.545	0.333	4.6	1.4	0.9	0.8	0.6	10.6	0.0	West
222	244	245	Luke Kennard\kennalu01	SG	25	LAC	0.438	0.451	3.5	2.0	0.7	0.1	0.9	11.4	0.0	West
223	245	246	Louis King\kinglo02	SF	22	SAC	0.318	0.286	1.8	0.3	0.5	0.0	0.0	6.0	0.0	West
225	247	248	Maxi Kleber\klebima01	PF	30	DAL	0.427	0.359	5.4	0.9	0.4	0.8	0.6	7.3	0.0	West
231	254	255	Jonathan Kuminga\kuminjo01	SF	19	GSW	0.462	0.125	1.6	0.3	0.3	0.1	0.5	3.3	0.0	West
238	261	262	Damion Lee\leeda03	SG	29	GSW	0.417	0.314	3.0	1.0	0.4	0.1	0.5	7.8	0.0	West
